DANH SÁCH THÍ SINH THAM GIA VÒNG CHUNG KẾT

HỘI THI BÍ THƯ ĐOÀN CƠ SỞ GIỎI TOÀN QUỐC LẦN THỨ I, NĂM 2023

| STT | Đơn vị | Họ và tên thí sinh | Chức vụ, đơn vị công tác |
| 31 | Hà Tĩnh | Trương Thị Nhật Anh | Bí thư Đoàn Trường THPT Chuyên Hà Tĩnh, Đoàn Khối các cơ quan và doanh nghiệp tỉnh, tỉnh Hà Tĩnh |
| 32 | Quảng Bình | Hoàng Thị Nhân Ái | Bí thư Đoàn xã Bảo Ninh, Thành phố Đồng Hới, tỉnh Quảng Bình |
| 33 | Quảng Trị | Lê Trung Nhân | Bí thư Đoàn xã Tân Hợp, huyện Hướng Hoá, tỉnh Quảng Trị |
| 34 | Thừa Thiên Huế | Lê Thị Huyền | Bí thư Đoàn phường Hương Hồ, Thành phố Huế, tỉnh Thừa Thiên Huế |
| 35 | Đà Nẵng | Phạm Trần Trúc Mai | Bí thư Đoàn phường Hòa Hiệp Nam, quận Liên Chiểu, thành phố Đà Nẵng |
| 36 | Quảng Nam | Mai Thị Lệ Huyền | Bí thư Đoàn Trường THPT chuyên Nguyễn Bỉnh Khiêm, TP. Tam Kỳ, Tỉnh Quảng Nam |
| 37 | Quảng Ngãi | Nguyễn Thị Hồng Diễm | Bí thư Đoàn Phường Quảng Phú, Thành phố Quảng Ngãi, tỉnh Quảng Ngãi |
| 38 | Bình Định | Nguyễn Tiến Hòa | Bí thư Đoàn xã Mỹ Trinh, huyện Phù Mỹ, tỉnh Bình Định |
| 39 | Phú Yên | Huỳnh Quốc Toàn | Bí thư Đoàn phường Phú Đông, Thành phố Tuy Hòa, tỉnh Phú Yên |
| 40 | Khánh Hoà | Hoàng Trọng Nghĩa | Bí thư Đoàn xã Cam Hoà, huyện Cam Lâm, tỉnh Khánh Hoà |
| 41 | Ninh Thuận | Hà Thị Hồng Loan | Bí thư Đoàn xã Bắc Phong, Huyện Thuận Bắc, Tỉnh đoàn Ninh Thuận |
| 42 | Gia Lai | Phan Thị Bích Thuỷ | Bí thư Đoàn trường THPT Hoàng Hoa Thám, Tp Pleiku, tỉnh Gia Lai |
| 43 | Kon Tum | Nguyễn Thị Huệ | Bí thư Đoàn thị trấn Plei Kần, huyện Ngọc Hồi, tỉnh Kon Tum |
| 44 | Đắk Lắk | Đàm Hùng Quân | Bí thư Đoàn Công an Thành phố Buôn Ma Thuột, tỉnh Đắk Lắk |
| 45 | Lâm Đồng | Phan Anh Kim | Bí thư Đoàn Phòng PC07, Công an tỉnh Lâm Đồng |
| 46 | Đắk Nông | Phùng Cao Sang | Bí thư Đoàn cơ sở Công an Huyện Đắk Mil, tỉnh Đắk Nông |
| 47 | Bình Phước | Dư Thị Thanh Xuân | Bí thư Đoàn trường THPT Thị xã Bình Long, Thị trấn An Lộc, tỉnh Bình Phước |
| 48 | Bà Rịa  Vũng Tàu | Kiểu Thị Thanh Hoà | Bí thư Đoàn xã Bông Trang, huyện Xuyên Mộc, tỉnh BRVT |
| 49 | Bình Dương | Lý Ngọc Minh | Bí thư Đoàn phường Hiệp Thành, tp Thủ Dầu Một, tỉnh Bình Dương |
| 50 | Bình Thuận | Hồ Viết Dũng | Bí thư đoàn cơ sở xã Đa Mi, huyện Hàm Thuận Bắc, Tỉnh Bình Thuận |
| 51 | Tây Ninh | Hồ Tường Vy | Bí thư Đoàn xã Phan, huyện Dương Minh Châu, tỉnh Tây Ninh |
| 52 | Đồng Nai | Nguyễn Võ Ngọc Hòa | Bí thư Đoàn xã Thạnh Phú, huyện Vĩnh Cửu, tỉnh Đồng Nai |
| 53 | TP Hồ Chí Minh | Nguyễn Hoàng Đan Khanh | Bí thư Đoàn phường 15, quận Bình Thạnh, Thành phố Hồ Chí Minh |
| 54 | TP Hồ Chí Minh | Nguyễn Khắc Quốc Huy | Bí thư Đoàn Phường 8, Quận 10, Thành phố Hồ Chí Minh |
| 55 | Bến Tre | Lữ Anh Đào | Bí thư Đoàn xã Phú Hưng, thành phố Bến Tre, tỉnh Bến Tre |
| 56 | Trà Vinh | Lê Thanh Bách | Bí thư Đoàn Trường THPT Nguyễn Đáng, Huyện đoàn Càng Long |
| 57 | Tiền Giang | Nguyễn Kim Huy Bằng | Bí thư Đoàn cơ sở Phường 5, thành phố Mỹ Tho, tỉnh Tiền Giang |
| 58 | Đồng Tháp | Lê Nguyễn Huỳnh Anh | Bí thư Đoàn xã Bình Thành, huyện Lấp Vò, tỉnh Đồng Tháp |
| 59 | Vĩnh Long | Thái Hồng Cúc | Bí thư Đoàn cơ sở Tân An Thạnh, huyện Bình Tân, tỉnh Vĩnh Long |
| 60 | Long An | Nguyễn Thị Như Ngọc | Bí thư Đoàn Văn phòng UBND tỉnh Long An |
| 61 | Bạc Liêu | Nguyễn Hải Âu | Bí thư Đoàn xã Điền Hải, huyện Đông Hải, tỉnh Bạc Liêu |
| 62 | Cà Mau | Nguyễn Văn Khỏe | Bí thư Đoàn Phường 2, thành phố Cà Mau, tỉnh Cà Mau |
| 63 | Sóc Trăng | Đặng Thị Ngọc Xứng | Bí thư Đoàn cơ sở thị trấn Phú Lộc, huyện Thạnh Trị, tỉnh Sóc Trăng |
| 64 | Cần Thơ | Đặng Tấn Dai | Bí thư Đoàn xã Xuân Thắng, huyện Thới Lai, Thành phố Cần Thơ. |
| 65 | Hậu Giang | Nguyễn Trường Thịnh | Bí thư Đoàn thị trấn Mái Dầm, huyện Châu Thành, tỉnh Hậu Giang |
| 66 | An Giang | Lý Thị Minh Trang | Bí thư Đoàn Khoa Ngoại ngữ, Đoàn Trường Đại học An Giang  ĐHQGHCM, Tỉnh An Giang |
| 67 | Kiên Giang | Phùng Thị Thuỳ Trang | Bí thư Xã đoàn Vĩnh Điều, huyện Giang Thành, tỉnh Kiên Giang |
| 68 | Ban Thanh niên Quân đội | Phạm Kiên Trung | Bí thư Đoàn Tiểu đoàn 11, Trường Sĩ quan Chính trị, Ban Thanh niên Quân đội |
| 69 | Ban Thanh niên Quân đội | Nguyễn Sỹ Tuân | Bí thư Đoàn Tiểu đoàn 97, Bộ Tham mưu, Quân khu 4 |
| 70 | Đoàn Thanh niên Bộ Công an | Phan Hữu Minh | Bí thư Đoàn Cục Kỹ thuật nghiệp vụ, Đoàn Thanh niên Bộ Công an |
| 71 | Đoàn Khối các cơ quan Trung ương | Trần Sỹ Dương | Bí thư Đoàn Trường Đại học Kiểm sát Hà Nội, thuộc Đoàn Viện Kiểm sát Nhân dân Tối cao, Đoàn Khối các cơ quan Trung ương |
| 72 | Đoàn Khối Doanh nghiệp Trung ương | Trần Thị Thúy Hằng | Bí thư Đoàn Trung tâm Thẩm định và Phê duyệt, Đoàn Ngân hàng BIDV, Đoàn Khối DNTW |
